entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,description,notes,payment_id,order_id,order_receipt,method,international,conversion_rate,base_amount,base_currency,refund_id
pay_Db5PRKE5ZbRHwb,payment,0.00,36960.42,37853.77,INR,757.08,136.27,N,Y,2026-08-04,2026-08-06,setl_FG8woHlzdGu9t9,A1E7KMEUE8LOFUCR,Payment for INV-2026-M00020,INV-2026-M00020,pay_Db5PRKE5ZbRHwb,order_zbqqUtzrSZx34V,INV-2026-M00020,upi,N,,37853.77,INR,
pay_uNdvvD8xTjuhV2,payment,0.00,18427.47,18872.87,INR,377.46,67.94,N,Y,2026-08-17,2026-08-19,setl_tc0qkvt0bJue2Z,0XTEMX91VKGORH9Q,Payment for INV-2026-M00021,INV-2026-M00021,pay_uNdvvD8xTjuhV2,order_uampdpAPvadCwv,INV-2026-M00021,card,N,,18872.87,INR,
pay_IWZWfRa6e2QTcL,payment,0.00,2509.39,2570.04,INR,51.40,9.25,N,Y,2026-08-02,2026-08-04,setl_QH6q4uBhv0fblr,VTPK0UA0E02ZSYZE,Payment for INV-2026-M00022,INV-2026-M00022,pay_IWZWfRa6e2QTcL,order_DYDAE9zRMeZjTH,INV-2026-M00022,card,N,,2570.04,INR,
pay_tYW24BL1KYQ75H,payment,0.00,660.80,676.78,INR,13.54,2.44,N,Y,2026-08-18,2026-08-20,setl_PAJHP960asUSib,DLWVYAMTWX9B4IO2,Payment for INV-2026-M00023,INV-2026-M00023,pay_tYW24BL1KYQ75H,order_LN7qD2FJCY3pm6,INV-2026-M00023,netbanking,N,,676.78,INR,
pay_XpBP5XcXkBPbjo,payment,0.00,23802.82,24378.14,INR,487.56,87.76,N,Y,2026-08-16,2026-08-18,setl_HYl5aHT1eiAyWb,ORB4P8VQMD8Y4LMK,Payment for INV-2026-M00024,INV-2026-M00024,pay_XpBP5XcXkBPbjo,order_nfIjwhkJyuaFbr,INV-2026-M00024,upi,N,,24378.14,INR,
pay_YnKzmyIyeZ99ED,payment,0.00,34947.97,35792.67,INR,715.85,128.85,N,Y,2026-08-22,2026-08-24,setl_gebLhx4G9dTUwx,U10M9VH4QRBOPRLO,Payment for INV-2026-M00025,INV-2026-M00025,pay_YnKzmyIyeZ99ED,order_NOfV041LjWuJFl,INV-2026-M00025,card,N,,35792.67,INR,
pay_tK7fa6JzEGnghB,payment,0.00,1289971.48,13632.94,EUR,40119.37,7221.49,N,Y,2026-08-25,2026-08-27,setl_wtDMBwc7HO3tlj,HC139HPWX08LWJ2T,Payment for INV-2026-M00026,INV-2026-M00026,pay_tK7fa6JzEGnghB,order_wrLjMvSZRg3Z35,INV-2026-M00026,card,Y,98.0942,1337312.34,INR,
pay_ZDXYI8TmxdjXTK,payment,0.00,8010.18,8203.79,INR,164.08,29.53,N,Y,2026-08-10,2026-08-12,setl_cytIYoI2rqbODJ,A7D3BW3MAKUAHPCA,Payment for INV-2026-M00027,INV-2026-M00027,pay_ZDXYI8TmxdjXTK,order_87GRG4RfvO9HAN,INV-2026-M00027,netbanking,N,,8203.79,INR,
pay_9fMfU8gbAvEOri,payment,0.00,1036.93,1061.99,INR,21.24,3.82,N,Y,2026-08-09,2026-08-11,setl_e3D6uvfUj7vdHa,TKC0HSMOB5ZEC3WG,Payment for INV-2026-M00028,INV-2026-M00028,pay_9fMfU8gbAvEOri,order_zgC8ywBZugUZrP,INV-2026-M00028,card,N,,1061.99,INR,
pay_i74jV7h92WbetS,payment,0.00,1894.40,1940.18,INR,38.80,6.98,N,Y,2026-08-06,2026-08-08,setl_ckeZuUWi8829ub,55FLKRRIN7ZCRTA3,Payment for INV-2026-M00029,INV-2026-M00029,pay_i74jV7h92WbetS,order_O2UFA0ciz5NNXa,INV-2026-M00029,card,N,,1940.18,INR,
pay_nqvx2L4ff506Xq,payment,0.00,1775319.52,21060.83,USD,55214.17,9938.55,N,Y,2026-08-26,2026-08-28,setl_K4eUwcny1zWJOh,EYI0R37QF940ZZBW,Payment for INV-2026-M00030,INV-2026-M00030,pay_nqvx2L4ff506Xq,order_5Wxdg97TJ5Vbp0,INV-2026-M00030,card,Y,87.3884,1840472.24,INR,
pay_dQ25sgPQFfqDj7,payment,0.00,18571.54,19020.42,INR,380.41,68.47,N,Y,2026-08-07,2026-08-09,setl_Px2UB9zBFzKIPn,UC5ZAVJ3B9CXKJ0S,Payment for INV-2026-M00031,INV-2026-M00031,pay_dQ25sgPQFfqDj7,order_NrelfEh01oFDJ0,INV-2026-M00031,card,N,,19020.42,INR,
pay_hMezxhdHcQzVQW,payment,0.00,32075.25,32850.52,INR,657.01,118.26,N,Y,2026-08-23,2026-08-25,setl_VdXif1iyRPY8kf,S1Z1XZ669KSR1AVT,Payment for INV-2026-M00032,INV-2026-M00032,pay_hMezxhdHcQzVQW,order_OIm9UcH19xSGhW,INV-2026-M00032,netbanking,N,,32850.52,INR,
pay_z2SpQxztBhWGy0,payment,0.00,5663622.94,52575.02,GBP,176144.19,31705.95,N,Y,2026-08-03,2026-08-05,setl_0fpKGvBwx0Nj4m,X5819RK8AC6UN7GX,Payment for INV-2026-M00033,INV-2026-M00033,pay_z2SpQxztBhWGy0,order_UGTBecatbkyvdv,INV-2026-M00033,card,Y,111.6780,5871473.08,INR,
pay_dW3efJ1gb8LzKL,payment,0.00,1145.76,1173.45,INR,23.47,4.22,N,Y,2026-08-09,2026-08-11,setl_VwnTVmguhyXfho,GU1HPUFTX1L9WUWR,Payment for INV-2026-M00034,INV-2026-M00034,pay_dW3efJ1gb8LzKL,order_xdQEZdlIMnP1yZ,INV-2026-M00034,netbanking,N,,1173.45,INR,
pay_kIXET5dNufOLZ2,payment,0.00,31307.66,32064.38,INR,641.29,115.43,N,Y,2026-08-14,2026-08-16,setl_04t70KFBgcB8w0,QM1804XRF4EB3KXK,Payment for INV-2026-M00035,INV-2026-M00035,pay_kIXET5dNufOLZ2,order_FwFoa7jXhKmOT4,INV-2026-M00035,card,N,,32064.38,INR,
pay_P8dYODLgqaOZes,payment,0.00,17285.79,17703.59,INR,354.07,63.73,N,Y,2026-08-21,2026-08-23,setl_dhGbVpYRhBEkxk,WU5WSZVERN8338JS,Payment for INV-2026-M00036,INV-2026-M00036,pay_P8dYODLgqaOZes,order_UF5wfBM7RwRO1N,INV-2026-M00036,netbanking,N,,17703.59,INR,
pay_J8itdPr1ipRVet,payment,0.00,34747.62,35587.49,INR,711.75,128.12,N,Y,2026-08-25,2026-08-27,setl_o5EHeOpQnZDMyZ,39814GIYQWVLTDDG,Payment for INV-2026-M00037,INV-2026-M00037,pay_J8itdPr1ipRVet,order_3dXWsqEPPcC47m,INV-2026-M00037,card,N,,35587.49,INR,
pay_D9lcxRHy8nbiDo,payment,0.00,11481.77,11759.29,INR,235.19,42.33,N,Y,2026-08-06,2026-08-08,setl_yPx8mEzs7xaNGZ,SROPNUTADA64CS0E,Payment for INV-2026-M00038,INV-2026-M00038,pay_D9lcxRHy8nbiDo,order_HACithwh12B9Et,INV-2026-M00038,netbanking,N,,11759.29,INR,
pay_xO7UrGmF5K7zkd,payment,0.00,38563.18,39495.27,INR,789.91,142.18,N,Y,2026-08-13,2026-08-15,setl_k5SQwJ7i8koekx,PQYAM1G1JK18JCVJ,Payment for INV-2026-M00039,INV-2026-M00039,pay_xO7UrGmF5K7zkd,order_GcoUbldMzSp9Ha,INV-2026-M00039,netbanking,N,,39495.27,INR,
pay_e95gQDXfAqFXNe,payment,0.00,35446.03,36302.78,INR,726.06,130.69,N,Y,2026-08-06,2026-08-08,setl_1an6cKIvuFP2n8,2FUBU06MXVE21OXY,Payment for INV-2026-M00040,INV-2026-M00040,pay_e95gQDXfAqFXNe,order_GVBepMn9IwFyd7,INV-2026-M00040,netbanking,N,,36302.78,INR,
pay_ps80ogKbA5Hy1C,payment,0.00,15126.48,15492.09,INR,309.84,55.77,N,Y,2026-08-04,2026-08-06,setl_ztNsz7G4krLlkY,58BKDSOWBLI7UJEW,Payment for INV-2026-M00041,INV-2026-M00041,pay_ps80ogKbA5Hy1C,order_aIqNMBsyRwfnoy,INV-2026-M00041,upi,N,,15492.09,INR,
pay_EiikLS8QRJPHDF,payment,0.00,25286.27,25897.45,INR,517.95,93.23,N,Y,2026-08-22,2026-08-24,setl_H25sCFRXnFOULI,WNNL57SAOHG9PZ2N,Payment for INV-2026-M00042,INV-2026-M00042,pay_EiikLS8QRJPHDF,order_0cu4fYs8jnLJ3q,INV-2026-M00042,upi,N,,25897.45,INR,
pay_22wXp08IgFiXKE,payment,0.00,25286.27,25897.45,INR,517.95,93.23,N,Y,2026-08-06,2026-08-08,setl_wsTnPtYiS7oy55,PVAKVX3X3SXJ3XNK,Payment for INV-2026-M00043,INV-2026-M00043,pay_22wXp08IgFiXKE,order_xoV8Dqoqcq951z,INV-2026-M00043,upi,N,,25897.45,INR,
pay_hknuM5MqPbgeEp,payment,0.00,12791.91,13101.09,INR,262.02,47.16,N,Y,2026-08-05,2026-08-07,setl_MzHTHlgXTP8K8S,YP5TVPH9TI4G5S4V,Payment for INV-2026-M00044,INV-2026-M00044,pay_hknuM5MqPbgeEp,order_CUeYzGQW3aqRL4,INV-2026-M00044,card,N,,13101.09,INR,
pay_TPUrfBaqV7nf9Y,payment,0.00,29637.15,30353.49,INR,607.07,109.27,N,Y,2026-08-11,2026-08-13,setl_6ACDnSOMRGnFQB,G8QZU9ITJHW0GM3V,Payment for INV-2026-M00045,INV-2026-M00045,pay_TPUrfBaqV7nf9Y,order_oF2WKcBoYBH3lJ,INV-2026-M00045,netbanking,N,,30353.49,INR,
pay_VT3Znw48arucpp,payment,0.00,24843.71,25444.19,INR,508.88,91.60,N,Y,2026-08-18,2026-08-20,setl_GdzgrDreTp2whb,RGW3U8LOV8CZ1XHO,Payment for INV-2026-M00046,INV-2026-M00046,pay_VT3Znw48arucpp,order_8Otu9hU9fcyKV2,INV-2026-M00046,netbanking,N,,25444.19,INR,
pay_tG4J5dgeLHPUEf,payment,0.00,3738.78,3829.14,INR,76.58,13.78,N,Y,2026-08-04,2026-08-06,setl_aQj1JqtmtrTQK7,RN6LSWVRQ4B63EC8,Payment for INV-2026-M00047,INV-2026-M00047,pay_tG4J5dgeLHPUEf,order_hghs3FqF52d8yD,INV-2026-M00047,upi,N,,3829.14,INR,
pay_ciZOBIymSvZcEG,payment,0.00,14291.23,14636.65,INR,292.73,52.69,N,Y,2026-08-18,2026-08-20,setl_g3NNOnsup3phKU,108P900QKQM1CF1J,Payment for INV-2026-M00048,INV-2026-M00048,pay_ciZOBIymSvZcEG,order_Ww7id7IuDVyBYG,INV-2026-M00048,card,N,,14636.65,INR,
pay_Z6iyNL1p2XyFLH,payment,0.00,14291.23,14636.65,INR,292.73,52.69,N,Y,2026-08-12,2026-08-14,setl_FEfKe05UrIZN4k,NGSONLMG3BI20WCU,Payment for INV-2026-M00049,INV-2026-M00049,pay_Z6iyNL1p2XyFLH,order_ik8BoQeP70PIFf,INV-2026-M00049,netbanking,N,,14636.65,INR,
pay_zRRGCaXTiOzeB5,payment,0.00,34373.68,35204.51,INR,704.09,126.74,N,Y,2026-08-08,2026-08-10,setl_AQ0JQNw2J1r1DJ,1Z067HTFP99WBL4W,Payment for INV-2026-M00050,INV-2026-M00050,pay_zRRGCaXTiOzeB5,order_ErpZagJyZsGxQZ,INV-2026-M00050,card,N,,35204.51,INR,
pay_g5tKOjh3oeiTwN,payment,0.00,36355.14,37233.86,INR,744.68,134.04,N,Y,2026-08-10,2026-08-12,setl_OOp7WYK7BSKeTY,W3M9EGTBS8WX3CWN,Payment for INV-2026-M00051,INV-2026-M00051,pay_g5tKOjh3oeiTwN,order_luZYlyCjt87UcS,INV-2026-M00051,upi,N,,37233.86,INR,
pay_6C75FrCaXyhhfd,payment,0.00,10866.57,11129.21,INR,222.58,40.06,N,Y,2026-08-23,2026-08-25,setl_99LDJXJQQSUJp4,94BRVSSYTWNSKKAJ,Payment for INV-2026-M00052,INV-2026-M00052,pay_6C75FrCaXyhhfd,order_YEEIL43q82NBtz,INV-2026-M00052,netbanking,N,,11129.21,INR,
pay_STa4qq8wKT2A4j,payment,0.00,40797.68,41783.78,INR,835.68,150.42,N,Y,2026-08-24,2026-08-26,setl_s648x7TjOkvRMW,LDSQALXDKI3NSOC2,Payment for INV-2026-M00053,INV-2026-M00053,pay_STa4qq8wKT2A4j,order_rB0H1mjSRT5Jn4,INV-2026-M00053,upi,N,,41783.78,INR,
pay_cdoljOWJJsAJjG,payment,0.00,40797.68,41783.78,INR,835.68,150.42,N,Y,2026-08-02,2026-08-04,setl_c394R8uH6Oeln0,UOCMWJZY9Y3SD6EE,Payment for INV-2026-M00054,INV-2026-M00054,pay_cdoljOWJJsAJjG,order_4Z2Oth8iHDwPJG,INV-2026-M00054,card,N,,41783.78,INR,
pay_Mgk93JwRwtnCZZ,payment,0.00,18261.95,18703.35,INR,374.07,67.33,N,Y,2026-08-09,2026-08-11,setl_qy8paJifKkTxgA,X60Z3MTBLJ6CUMOP,Payment for INV-2026-M00055,INV-2026-M00055,pay_Mgk93JwRwtnCZZ,order_rT1QX0iTJDfJ6r,INV-2026-M00055,upi,N,,18703.35,INR,
pay_mGkPQmYBxJiqBQ,payment,0.00,20197.78,20685.97,INR,413.72,74.47,N,Y,2026-08-14,2026-08-16,setl_zoOwYombvitfnm,DKIX771VJLN5HPK5,Payment for INV-2026-M00056,INV-2026-M00056,pay_mGkPQmYBxJiqBQ,order_rur5KQE5DvrB5C,INV-2026-M00056,upi,N,,20685.97,INR,
pay_nwNEoddlX3VmsL,payment,0.00,861406.18,9390.79,EUR,26790.57,4822.30,N,Y,2026-08-08,2026-08-10,setl_DuS9SrpIdjYnT7,2CKE42P4345AWPPY,Payment for INV-2026-M00057,INV-2026-M00057,pay_nwNEoddlX3VmsL,order_umdTJKbUvp6eJg,INV-2026-M00057,card,Y,95.0952,893019.05,INR,
pay_zep1DM3oxblh2v,payment,0.00,24247.16,24833.22,INR,496.66,89.40,N,Y,2026-08-17,2026-08-19,setl_EKuBOFT5eamT2D,SXAUALTUH8JE6MXN,Payment for INV-2026-M00058,INV-2026-M00058,pay_zep1DM3oxblh2v,order_YNtCRUvmmQPUjZ,INV-2026-M00058,card,N,,24833.22,INR,
pay_mM5heAj4CkvcuI,payment,0.00,8431.43,8635.22,INR,172.70,31.09,N,Y,2026-08-09,2026-08-11,setl_Bo4O6FVt0CTznr,UHP5QZ1EGVRE2BFD,Payment for INV-2026-M00059,INV-2026-M00059,pay_mM5heAj4CkvcuI,order_hLbCgDmVBmPo0Q,INV-2026-M00059,card,N,,8635.22,INR,
pay_gfd2eT2luCsMlK,payment,0.00,1405.55,1439.52,INR,28.79,5.18,N,Y,2026-08-19,2026-08-21,setl_dPXYTi5YLPltkk,77MFU37PNTL7N523,Payment for INV-2026-M00060,INV-2026-M00060,pay_gfd2eT2luCsMlK,order_eIUhUq2sbUNnuC,INV-2026-M00060,card,N,,1439.52,INR,
pay_wgUgw9vo2K9V0O,payment,0.00,377765.29,16419.40,AED,11748.87,2114.80,N,Y,2026-08-14,2026-08-16,setl_WdlV4fEA8APKZl,6JJ0E0Z7Y8U4CKPY,Payment for INV-2026-M00061,INV-2026-M00061,pay_wgUgw9vo2K9V0O,order_9DmvlL9GN9gFZ2,INV-2026-M00061,card,Y,23.8516,391628.96,INR,
pay_AQIs65qrwb5VZX,payment,0.00,35906.08,36773.95,INR,735.48,132.39,N,Y,2026-08-04,2026-08-06,setl_2OX2N1nuk1N48a,UON1UJQ7A7PF2GA0,Payment for INV-2026-M00062,INV-2026-M00062,pay_AQIs65qrwb5VZX,order_0M3LsDAOAJNLuy,INV-2026-M00062,card,N,,36773.95,INR,
pay_frkQuOEM8JMD7t,payment,0.00,1142592.17,49898.66,AED,35535.73,6396.43,N,Y,2026-08-09,2026-08-11,setl_0g1fNVMmuhwbd9,S5BROW2G6EYC7BXK,Payment for INV-2026-M00063,INV-2026-M00063,pay_frkQuOEM8JMD7t,order_oXoyIon3jfq4qp,INV-2026-M00063,card,Y,23.7386,1184524.33,INR,
pay_IQGZGJy2bPwCNm,payment,0.00,1715876.42,15945.11,GBP,53365.43,9605.78,N,Y,2026-08-03,2026-08-05,setl_LxDAt9A9b6LsuX,X5CC7W5KT897ORDV,Payment for INV-2026-M00064,INV-2026-M00064,pay_IQGZGJy2bPwCNm,order_aVBcys3RTgY5T6,INV-2026-M00064,card,Y,111.5607,1778847.63,INR,
rfnd_Yn9A4HdrIIEKt7,refund,1785219.30,0.00,15945.11,GBP,0.00,0.00,N,Y,2026-08-08,2026-08-09,setl_LxDAt9A9b6LsuX,X5CC7W5KT897ORDV,Refund against INV-2026-M00064,INV-2026-M00064,pay_IQGZGJy2bPwCNm,order_aVBcys3RTgY5T6,INV-2026-M00064,card,Y,111.9603,1785219.30,INR,rfnd_Yn9A4HdrIIEKt7
pay_L3HgUaDLHnV22Q,payment,0.00,2432957.48,39087.12,SGD,75667.35,13620.12,N,Y,2026-08-06,2026-08-08,setl_wkje5hy4WyCwtX,8R6D2I1BQMMEI9UB,Payment for INV-2026-M00065,INV-2026-M00065,pay_L3HgUaDLHnV22Q,order_FZNM2biTpU45bB,INV-2026-M00065,card,Y,64.5288,2522244.95,INR,
pay_viIWTEmNvWXvzs,payment,0.00,579338.21,25177.51,AED,18017.98,3243.24,N,Y,2026-08-03,2026-08-05,setl_2vNCMmmPIukR3u,PKDCTN5XDY6PEEVS,Payment for INV-2026-M00066,INV-2026-M00066,pay_viIWTEmNvWXvzs,order_wK0GydNYLkNbHn,INV-2026-M00066,card,Y,23.8546,600599.43,INR,
pay_Bsm29B3RCTUe7s,payment,0.00,5058187.19,47075.57,GBP,157314.55,28316.62,N,Y,2026-08-09,2026-08-11,setl_GpuWYmQ54OgUPf,97WQUW4U2BPYLAWY,Payment for INV-2026-M00067,INV-2026-M00067,pay_Bsm29B3RCTUe7s,order_mDyULnZvpSPGtW,INV-2026-M00067,card,Y,111.3915,5243818.36,INR,
pay_YZixqPSiKjpSVp,payment,0.00,31743.70,32510.96,INR,650.22,117.04,N,Y,2026-08-04,2026-08-06,setl_UwLQVGmkKe6WrU,L229LF1U8L2L9L05,Payment for INV-2026-M00068,INV-2026-M00068,pay_YZixqPSiKjpSVp,order_YDPyjmKlZrIRsP,INV-2026-M00068,netbanking,N,,32510.96,INR,
pay_0FBVPd3AzYLUwc,payment,0.00,4091.94,4190.85,INR,83.82,15.09,N,Y,2026-08-23,2026-08-25,setl_GEMiY5qmkto10c,PJLGAP76518EQ9X9,Payment for INV-2026-M00069,INV-2026-M00069,pay_0FBVPd3AzYLUwc,order_UNY8beS2ZWBaI2,INV-2026-M00069,upi,N,,4190.85,INR,
pay_iMzkPJMqL1Xjkb,payment,0.00,22537.00,23081.72,INR,461.63,83.09,N,Y,2026-08-18,2026-08-20,setl_hIBU3B2hwM3yIq,D0SPVZONZFZT2R28,Payment for INV-2026-M00070,INV-2026-M00070,pay_iMzkPJMqL1Xjkb,order_3Pdjl6ESEjdMZ4,INV-2026-M00070,upi,N,,23081.72,INR,
pay_D1NktbGLKqoHX6,payment,0.00,20039.25,20523.60,INR,410.47,73.88,N,Y,2026-08-12,2026-08-14,setl_5W1OCwd6xcLG1M,RWU3VUH85ZXAOP7S,Payment for INV-2026-M00071,INV-2026-M00071,pay_D1NktbGLKqoHX6,order_R6RegbDjO65HRn,INV-2026-M00071,netbanking,N,,20523.60,INR,
pay_Wy8CiSFzZgUbmz,payment,0.00,16058.75,16446.90,INR,328.94,59.21,N,Y,2026-08-08,2026-08-10,setl_W6AegOrdSB1Bk4,QIRSYBBFFKMULDSC,Payment for INV-2026-M00072,INV-2026-M00072,pay_Wy8CiSFzZgUbmz,order_Ibfv6Oa0qFyzS6,INV-2026-M00072,upi,N,,16446.90,INR,
pay_4qFFLXqlLYtY0r,payment,0.00,32657.86,33447.21,INR,668.94,120.41,N,Y,2026-08-11,2026-08-13,setl_VVUS8kJWIic47l,KFBH7EFDGP5GD0WI,Payment for INV-2026-M00073,INV-2026-M00073,pay_4qFFLXqlLYtY0r,order_XdB5Hmc2Vo6DWE,INV-2026-M00073,upi,N,,33447.21,INR,
pay_IYh5aeU7CxJCoI,payment,0.00,34377.94,35208.87,INR,704.18,126.75,N,Y,2026-08-07,2026-08-09,setl_wyuPunqPOwBbMn,OXC0FW170KFP8EDN,Payment for INV-2026-M00074,INV-2026-M00074,pay_IYh5aeU7CxJCoI,order_5IcrP7jIn8u6Ws,INV-2026-M00074,card,N,,35208.87,INR,
