invoice_id,invoice_date,order_id,customer_name,customer_country,currency,invoice_amount,invoice_status,purpose_code,shipping_bill_no,shipping_bill_date,realisation_deadline,realised_amount,notes
INV-2026-M00037,2026-08-19,order_3dXWsqEPPcC47m,Bluewave Logistics,IN,INR,35587.49,ISSUED,,,,,,
INV-2026-M00038,2026-08-01,order_HACithwh12B9Et,Sunrise Foods India,IN,INR,11759.29,ISSUED,,,,,,
INV-2026-M00039,2026-08-12,order_GcoUbldMzSp9Ha,Sharma Retail LLP,IN,INR,39495.27,ISSUED,,,,,,
INV-2026-M00040,2026-08-02,order_GVBepMn9IwFyd7,Bluewave Logistics,IN,INR,36302.78,ISSUED,,,,,,
INV-2026-M00041,2026-08-04,order_aIqNMBsyRwfnoy,Kanpur Textiles Pvt Ltd,IN,INR,15492.09,ISSUED,,,,,,
INV-2026-M00042,2026-08-22,order_0cu4fYs8jnLJ3q,Deccan Hardware Co,IN,INR,25897.45,ISSUED,,,,,,
INV-2026-M00043,2026-07-27,order_xoV8Dqoqcq951z,Sunrise Foods India,IN,INR,25897.45,ISSUED,,,,,,
INV-2026-M00044,2026-07-31,order_CUeYzGQW3aqRL4,Kanpur Textiles Pvt Ltd,IN,INR,13101.09,ISSUED,,,,,,
INV-2026-M00045,2026-08-02,order_oF2WKcBoYBH3lJ,Bluewave Logistics,IN,INR,30353.49,ISSUED,,,,,,
INV-2026-M00046,2026-08-11,order_8Otu9hU9fcyKV2,Kanpur Textiles Pvt Ltd,IN,INR,25444.19,ISSUED,,,,,,
INV-2026-M00047,2026-08-05,order_hghs3FqF52d8yD,Sharma Retail LLP,IN,INR,3829.14,ISSUED,,,,,,
INV-2026-M00048,2026-08-10,order_Ww7id7IuDVyBYG,Sunrise Foods India,IN,INR,14636.65,ISSUED,,,,,,
INV-2026-M00049,2026-08-07,order_ik8BoQeP70PIFf,Sharma Retail LLP,IN,INR,14636.65,ISSUED,,,,,,
INV-2026-M00050,2026-07-30,order_ErpZagJyZsGxQZ,Sharma Retail LLP,IN,INR,35204.51,ISSUED,,,,,,
INV-2026-M00051,2026-07-31,order_luZYlyCjt87UcS,Sharma Retail LLP,IN,INR,37233.86,ISSUED,,,,,,
INV-2026-M00052,2026-08-21,order_YEEIL43q82NBtz,Kanpur Textiles Pvt Ltd,IN,INR,11129.21,ISSUED,,,,,,
INV-2026-M00053,2026-08-23,order_rB0H1mjSRT5Jn4,Deccan Hardware Co,IN,INR,41783.78,ISSUED,,,,,,
INV-2026-M00054,2026-07-25,order_4Z2Oth8iHDwPJG,Deccan Hardware Co,IN,INR,41783.78,ISSUED,,,,,,
INV-2026-M00055,2026-08-04,order_rT1QX0iTJDfJ6r,Sharma Retail LLP,IN,INR,18703.35,ISSUED,,,,,,
INV-2026-M00056,2026-08-15,order_rur5KQE5DvrB5C,Sharma Retail LLP,IN,INR,20685.97,ISSUED,,,,,,
INV-2026-M00057,2026-08-02,order_umdTJKbUvp6eJg,ACME TRADING GMBH,DE,EUR,9390.79,ISSUED,P1006,6621634,2026-07-30,2027-04-26,,
INV-2026-M00058,2026-08-18,order_YNtCRUvmmQPUjZ,Deccan Hardware Co,IN,INR,24833.22,ISSUED,,,,,,
INV-2026-M00059,2026-08-09,order_hLbCgDmVBmPo0Q,Sunrise Foods India,IN,INR,8635.22,ISSUED,,,,,,
INV-2026-M00060,2026-08-11,order_eIUhUq2sbUNnuC,Deccan Hardware Co,IN,INR,1439.52,ISSUED,,,,,,
INV-2026-M00061,2026-08-03,order_9DmvlL9GN9gFZ2,AL MAHA GENERAL TRADING LLC,AE,AED,16419.40,ISSUED,P1006,1166021,2026-08-02,2027-04-29,,
INV-2026-M00062,2026-07-30,order_0M3LsDAOAJNLuy,Sunrise Foods India,IN,INR,36773.95,ISSUED,,,,,,
INV-2026-M00063,2026-07-28,order_oXoyIon3jfq4qp,AL MAHA GENERAL TRADING LLC,AE,AED,49898.66,ISSUED,P0805,8632442,2026-07-13,2027-04-09,,
INV-2026-M00064,2026-08-01,order_aVBcys3RTgY5T6,KESTREL SYSTEMS LIMITED,GB,GBP,15945.11,ISSUED,P0805,3667298,2026-07-22,2027-04-18,,
INV-2026-M00065,2026-07-27,order_FZNM2biTpU45bB,MERIDIAN PTE LTD,SG,SGD,39087.12,ISSUED,P0805,2012152,2026-07-08,2027-04-04,,
INV-2026-M00066,2026-07-22,order_wK0GydNYLkNbHn,AL MAHA GENERAL TRADING LLC,AE,AED,25177.51,ISSUED,P0802,5090376,2026-07-13,2027-04-09,,
INV-2026-M00067,2026-08-06,order_mDyULnZvpSPGtW,KESTREL SYSTEMS LIMITED,GB,GBP,47075.57,ISSUED,P1006,8712675,2026-07-30,2027-04-26,,
INV-2026-M00068,2026-08-01,order_YDPyjmKlZrIRsP,Deccan Hardware Co,IN,INR,32510.96,ISSUED,,,,,,
INV-2026-M00069,2026-08-19,order_UNY8beS2ZWBaI2,Sunrise Foods India,IN,INR,4190.85,ISSUED,,,,,,
INV-2026-M00070,2026-08-13,order_3Pdjl6ESEjdMZ4,Kanpur Textiles Pvt Ltd,IN,INR,23081.72,ISSUED,,,,,,
INV-2026-M00071,2026-08-04,order_R6RegbDjO65HRn,Deccan Hardware Co,IN,INR,20523.60,ISSUED,,,,,,
INV-2026-M00072,2026-07-31,order_Ibfv6Oa0qFyzS6,Sharma Retail LLP,IN,INR,16446.90,ISSUED,,,,,,
INV-2026-M00073,2026-08-10,order_XdB5Hmc2Vo6DWE,Sunrise Foods India,IN,INR,33447.21,ISSUED,,,,,,
INV-2026-M00074,2026-08-06,order_5IcrP7jIn8u6Ws,Deccan Hardware Co,IN,INR,35208.87,ISSUED,,,,,,
INV-2026-M00075,2026-08-02,order_Ln8u1WWVScElOL,Bluewave Logistics,IN,INR,35208.88,ISSUED,,,,,,
INV-2026-M00076,2026-08-09,order_urm8PHoPnN5oQs,Sunrise Foods India,IN,INR,26303.17,ISSUED,,,,,,
INV-2026-M00077,2026-07-29,order_Lrq5S81yVCoUqa,Sunrise Foods India,IN,INR,13895.52,ISSUED,,,,,,
INV-2026-M00078,2026-08-12,order_uB7k3awB5xpPFo,KESTREL SYSTEMS LIMITED,GB,GBP,7558.93,ISSUED,P0103,5601235,2026-08-02,2027-04-29,,
INV-2026-M00079,2026-08-11,order_zZJszczvANZ8lF,Sharma Retail LLP,IN,INR,38351.11,ISSUED,,,,,,
INV-2026-M00080,2026-07-25,order_Ao0Z1IVyfbJ6QF,Sunrise Foods India,IN,INR,6052.43,ISSUED,,,,,,
INV-2026-M00081,2026-08-13,order_RFbFMwsJXfn2IW,Sharma Retail LLP,IN,INR,22147.82,ISSUED,,,,,,
INV-2026-M00082,2026-08-16,order_QuQr2MoJfecU7V,Deccan Hardware Co,IN,INR,34815.99,ISSUED,,,,,,
INV-2026-M00083,2026-07-29,order_eAgaCUxbheFpoh,Bluewave Logistics,IN,INR,31508.10,ISSUED,,,,,,
INV-2026-M00084,2026-07-25,order_LEFlcyWNQjgpyn,Deccan Hardware Co,IN,INR,31508.10,ISSUED,,,,,,
INV-2026-M00085,2026-08-13,order_RDSE1GXlfAuFT0,Sharma Retail LLP,IN,INR,13688.88,ISSUED,,,,,,
INV-2026-M00086,2026-08-20,order_lzcCKL6Zinw2G3,Sharma Retail LLP,IN,INR,38241.16,ISSUED,,,,,,
INV-2026-M00087,2026-08-10,order_ZLres2n1B6pV6F,Kanpur Textiles Pvt Ltd,IN,INR,3562.00,ISSUED,,,,,,
INV-2026-M00088,2026-08-01,order_qllU8XBnHjTvG5,Kanpur Textiles Pvt Ltd,IN,INR,9476.78,ISSUED,,,,,,
INV-2026-M00089,2026-08-23,order_UQg13V9cwPmneN,Deccan Hardware Co,IN,INR,1398.14,ISSUED,,,,,,
INV-2026-M00090,2026-08-24,order_YN6Xz5wBFrfavX,Bluewave Logistics,IN,INR,31462.79,ISSUED,,,,,,
INV-2026-M00091,2026-08-20,order_iOXvfXA8wweWql,AL MAHA GENERAL TRADING LLC,AE,AED,17807.77,ISSUED,P0805,3736178,2026-08-04,2027-05-01,,
INV-2026-M00092,2026-08-18,order_M22PAJh8jAdXkC,Bluewave Logistics,IN,INR,1460.45,ISSUED,,,,,,
INV-2026-M00093,2026-07-30,order_sjIp1nFUsslMWq,Deccan Hardware Co,IN,INR,13392.51,ISSUED,,,,,,
INV-2026-M00094,2026-07-29,order_7I5afNfjn4eu2z,Kanpur Textiles Pvt Ltd,IN,INR,8446.61,ISSUED,,,,,,
INV-2026-M00095,2026-08-13,order_o5HFeympGVRQkX,Sharma Retail LLP,IN,INR,18163.21,ISSUED,,,,,,
INV-2026-M00096,2026-08-16,order_ka0rDLKCkVHUQC,Kanpur Textiles Pvt Ltd,IN,INR,27858.69,ISSUED,,,,,,
INV-2026-M00097,2026-08-22,order_8G5bUFvwR5afah,Bluewave Logistics,IN,INR,34453.30,ISSUED,,,,,,
INV-2026-M00098,2026-08-05,order_uC38uXadp8YMjM,Bluewave Logistics,IN,INR,36253.86,ISSUED,,,,,,
INV-2026-M00099,2026-08-07,order_M0H7puwKlOqXia,Bluewave Logistics,IN,INR,15903.77,ISSUED,,,,,,
INV-2026-M00100,2026-08-21,order_rn6VPvEr45Y861,Deccan Hardware Co,IN,INR,13651.82,ISSUED,,,,,,
INV-2026-M00101,2026-07-31,order_LuVe4hixxWAybN,Deccan Hardware Co,IN,INR,39305.64,ISSUED,,,,,,
INV-2026-M00102,2026-08-03,order_V72amjgMfKsD1k,Sharma Retail LLP,IN,INR,29085.36,ISSUED,,,,,,
INV-2026-M00103,2026-08-06,order_9Qbbd2Zi4Owng0,Sunrise Foods India,IN,INR,14637.12,ISSUED,,,,,,
INV-2026-M00104,2026-08-04,order_HpAvsFJpzX19u0,Sharma Retail LLP,IN,INR,3935.25,ISSUED,,,,,,
INV-2026-M00105,2026-08-04,order_rSPCocvtkyVCa1,Sunrise Foods India,IN,INR,31182.59,ISSUED,,,,,,
INV-2026-M00106,2026-08-21,order_fhdqBMmNm9w5EP,Sunrise Foods India,IN,INR,25036.79,ISSUED,,,,,,
INV-2026-M00107,2026-08-16,order_hWekLvOFHTCx24,Sunrise Foods India,IN,INR,28239.22,ISSUED,,,,,,
INV-2026-M00108,2026-08-12,order_qgl8ZtvTbN91dp,Kanpur Textiles Pvt Ltd,IN,INR,8181.06,ISSUED,,,,,,
INV-2026-M00109,2026-08-12,order_H1jrC7LnDbWByf,Deccan Hardware Co,IN,INR,24074.34,ISSUED,,,,,,
INV-2026-M00110,2026-08-09,order_xNOF2YFB0zVabu,Kanpur Textiles Pvt Ltd,IN,INR,39560.84,ISSUED,,,,,,
INV-2026-M00111,2026-08-16,order_ZPNkZcR70meqmH,Sunrise Foods India,IN,INR,22177.28,ISSUED,,,,,,
INV-2026-M00112,2026-08-10,order_oU6rZ48dDt0EJ3,Bluewave Logistics,IN,INR,27476.01,ISSUED,,,,,,
INV-2026-M00113,2026-08-14,order_6IOuK9nOIvpDps,Sunrise Foods India,IN,INR,12730.09,ISSUED,,,,,,
INV-2026-M00114,2026-08-02,order_pA5QqN8AixzM6c,Sunrise Foods India,IN,INR,17683.02,ISSUED,,,,,,
INV-2026-M00115,2026-08-21,order_UD4f9rkwx6GJ4z,Deccan Hardware Co,IN,INR,40033.21,ISSUED,,,,,,
INV-2026-M00116,2026-08-13,order_0fCvYWvNnUGZK0,Kanpur Textiles Pvt Ltd,IN,INR,40033.21,ISSUED,,,,,,
INV-2026-M00117,2026-07-31,order_RR5xwHMztXYY5t,Bluewave Logistics,IN,INR,8505.92,ISSUED,,,,,,
INV-2026-M00118,2026-08-05,order_XUrhVIQgUVZtXG,Deccan Hardware Co,IN,INR,23590.05,ISSUED,,,,,,
INV-2026-M00119,2026-08-19,order_HuO14wGFXShvbo,ACME TRADING GMBH,DE,EUR,12519.81,ISSUED,P1006,3817907,2026-08-15,2027-05-12,,
INV-2026-M00120,2026-08-02,order_MevHjjUosnh7ln,Sunrise Foods India,IN,INR,36811.46,ISSUED,,,,,,
INV-2026-M00121,2026-08-16,order_Jg0dBwjHz8oiOm,Bluewave Logistics,IN,INR,25719.41,ISSUED,,,,,,
INV-2026-M00122,2026-08-09,order_TdN323DOiauOFF,Bluewave Logistics,IN,INR,27565.29,ISSUED,,,,,,
INV-2026-M00123,2026-08-12,order_BKr5JSRQnfVPVp,Kanpur Textiles Pvt Ltd,IN,INR,13764.12,ISSUED,,,,,,
INV-2026-M00124,2026-08-15,order_o2Onh5j6am3sVB,Sharma Retail LLP,IN,INR,12487.76,ISSUED,,,,,,
INV-2026-M00125,2026-07-30,order_V6j6vQouNI2RSb,Bluewave Logistics,IN,INR,11949.23,ISSUED,,,,,,
INV-2026-M00126,2026-08-01,order_fUXfk2IJV1ZxT1,Sharma Retail LLP,IN,INR,32883.20,ISSUED,,,,,,
INV-2026-M00127,2026-07-31,order_fcJ1x6Ms8IQyJ8,Deccan Hardware Co,IN,INR,32883.21,ISSUED,,,,,,
INV-2026-M00128,2026-08-13,order_ekgdmvWUisJh8N,MERIDIAN PTE LTD,SG,SGD,29934.60,ISSUED,P0805,4934704,2026-08-01,2027-04-28,,
INV-2026-M00129,2026-08-01,order_AY4YNqyVg7OmS9,Sunrise Foods India,IN,INR,38744.60,ISSUED,,,,,,
INV-2026-M00130,2026-08-16,order_EpH4hgvDRC6JEb,AL MAHA GENERAL TRADING LLC,AE,AED,51750.57,ISSUED,P0802,7457779,2026-08-09,2027-05-06,,
INV-2026-M00131,2026-07-29,order_CjVrBrMlpunNd5,Deccan Hardware Co,IN,INR,32131.97,ISSUED,,,,,,
INV-2026-M00132,2026-08-22,order_jK74DOnDnNz2C0,Kanpur Textiles Pvt Ltd,IN,INR,14687.49,ISSUED,,,,,,
INV-2026-M00133,2026-07-26,order_a0PPOjQB8NTfHW,ACME TRADING GMBH,DE,EUR,26849.97,ISSUED,P1006,5084642,2026-07-13,2027-04-09,,
INV-2026-M00134,2026-07-31,order_MyVdy5H4dleEyS,Kanpur Textiles Pvt Ltd,IN,INR,38999.68,ISSUED,,,,,,
INV-2026-M00135,2026-08-21,order_z2hTyHx2ewXCXc,Sunrise Foods India,IN,INR,12294.39,ISSUED,,,,,,
INV-2026-M00136,2026-08-06,order_4oYUwIBuuJHFmb,Deccan Hardware Co,IN,INR,1291.59,ISSUED,,,,,,
INV-2026-M00137,2026-08-13,order_g4YzbL5ZlYx81z,Sunrise Foods India,IN,INR,19561.53,ISSUED,,,,,,
INV-2026-M00138,2026-08-12,order_w6hqAJw0MKLhWt,Bluewave Logistics,IN,INR,7776.39,ISSUED,,,,,,
INV-2026-M00139,2026-08-01,order_QhX2ZBQWpUDmQF,Deccan Hardware Co,IN,INR,30698.80,ISSUED,,,,,,
INV-2026-M00140,2026-08-11,order_9bcATl9woVYPWg,Sharma Retail LLP,IN,INR,28771.62,ISSUED,,,,,,
INV-2026-M00141,2026-08-13,order_hv26Ph2MIVl9Wk,Bluewave Logistics,IN,INR,29735.19,ISSUED,,,,,,
INV-2026-M00142,2026-08-04,order_EwNcEp7ceulxZS,Bluewave Logistics,IN,INR,29735.19,ISSUED,,,,,,
INV-2026-M00143,2026-08-17,order_LKQuMErVYc2JLY,NORTHWIND SOFTWARE INC,US,USD,18680.93,ISSUED,P0801,1597241,2026-07-29,2027-04-25,,
INV-2026-M00144,2026-07-31,order_Vu8vzOTCTAhOGS,Bluewave Logistics,IN,INR,33535.86,ISSUED,,,,,,
INV-2026-M00145,2026-08-12,order_ElU29n7gJbdLyb,Sharma Retail LLP,IN,INR,28343.19,ISSUED,,,,,,
INV-2026-M00146,2026-07-31,order_fgRCAC4NviWptN,Kanpur Textiles Pvt Ltd,IN,INR,36951.14,ISSUED,,,,,,
INV-2026-M00147,2026-07-29,order_TDKkKdJYYKKP06,Sharma Retail LLP,IN,INR,6817.55,ISSUED,,,,,,
INV-2026-M00148,2026-08-18,order_VXXjYhr5mhaH5K,Sunrise Foods India,IN,INR,36055.96,ISSUED,,,,,,
INV-2026-M00149,2026-08-07,order_lMqLKQzfCTZz8I,Sunrise Foods India,IN,INR,36055.97,ISSUED,,,,,,
INV-2026-M00150,2026-08-21,order_dlgQwAWyrl8lUn,ACME TRADING GMBH,DE,EUR,58784.11,ISSUED,P0802,6435290,2026-08-03,2027-04-30,,
INV-2026-M00151,2026-08-23,order_sJwog4WezMzPxa,Deccan Hardware Co,IN,INR,33688.22,ISSUED,,,,,,
INV-2026-M00152,2026-08-17,order_BmWBhX4kymIfVq,HELIOS DATA BV,NL,EUR,17207.79,ISSUED,P0801,4072102,2026-07-30,2027-04-26,,
INV-2026-M00153,2026-08-22,order_GaeelfrqMjdkyR,Kanpur Textiles Pvt Ltd,IN,INR,36441.57,ISSUED,,,,,,
INV-2026-M00154,2026-08-14,order_HcH8viSqh3nNIu,NORTHWIND SOFTWARE INC,US,USD,10951.14,ISSUED,P1006,2290303,2026-08-07,2027-05-04,,
INV-2026-M00155,2026-07-30,order_6yP9xNSxazhftf,Kanpur Textiles Pvt Ltd,IN,INR,9479.93,ISSUED,,,,,,
INV-2026-M00156,2026-08-13,order_wqxcAfI6RSb5Ls,Sharma Retail LLP,IN,INR,36951.12,ISSUED,,,,,,
INV-2026-M00157,2026-08-02,order_IK9acXLKa9XIqa,Sharma Retail LLP,IN,INR,3015.30,ISSUED,,,,,,
INV-2026-M00158,2026-08-14,order_GVy23NYUKENzVo,ACME TRADING GMBH,DE,EUR,52585.17,ISSUED,P0801,3673229,2026-08-05,2027-05-02,,
INV-2026-M00159,2026-08-21,order_uFXxkcG0Fe9pbg,Bluewave Logistics,IN,INR,39336.44,ISSUED,,,,,,
INV-2026-M00160,2026-08-05,order_uPfzfK648mhXeI,HELIOS DATA BV,NL,EUR,31408.05,ISSUED,P0103,5093931,2026-08-02,2027-04-29,,
INV-2026-M00161,2026-08-01,order_ZXTnQBmfadSHDW,Kanpur Textiles Pvt Ltd,IN,INR,36399.05,ISSUED,,,,,,
INV-2026-M00162,2026-08-04,order_QSVGQHWDq0Ln5x,Sunrise Foods India,IN,INR,39940.34,ISSUED,,,,,,
INV-2026-M00163,2026-08-07,order_KTpEAJ3hdknLBt,Bluewave Logistics,IN,INR,2563.98,ISSUED,,,,,,
INV-2026-M00164,2026-08-09,order_yTzDLJE0agVM9u,Sunrise Foods India,IN,INR,4284.66,ISSUED,,,,,,
INV-2026-M00165,2026-08-07,order_RtvDzmh9sC8eva,Bluewave Logistics,IN,INR,23394.47,ISSUED,,,,,,
INV-2026-M00166,2026-08-19,order_0x8B7qvMAXJZq7,Sunrise Foods India,IN,INR,23394.48,ISSUED,,,,,,
INV-2026-M00167,2026-08-24,order_yl2O9UuBIVF4Q1,Sunrise Foods India,IN,INR,24859.82,ISSUED,,,,,,
INV-2026-M00168,2026-08-15,order_sTXhBt3hcBPzV2,Bluewave Logistics,IN,INR,27202.72,ISSUED,,,,,,
INV-2026-M00169,2026-08-01,order_6cVW7fXMETygH7,Deccan Hardware Co,IN,INR,35075.34,ISSUED,,,,,,
INV-2026-M00170,2026-07-23,order_aswqR0xX0mZYaa,Sharma Retail LLP,IN,INR,15339.49,ISSUED,,,,,,
INV-2026-M00171,2026-08-18,order_fLkgTo0Zz9ngP0,Kanpur Textiles Pvt Ltd,IN,INR,18987.72,ISSUED,,,,,,
INV-2026-M00172,2026-08-15,order_tT1G2G4SCllOY0,BRIDGEWORK ANALYTICS LLC,US,USD,26166.64,ISSUED,P1006,1670752,2026-08-12,2027-05-09,,
INV-2026-M00173,2026-08-16,order_Lt6V1l5VRz1ttz,Sunrise Foods India,IN,INR,11622.29,ISSUED,,,,,,
INV-2026-M00174,2026-08-10,order_hcWOCJ14eIcDrR,Sunrise Foods India,IN,INR,20804.50,ISSUED,,,,,,
INV-2026-M00175,2026-08-11,order_L6FFaiTJbCFMrH,Kanpur Textiles Pvt Ltd,IN,INR,23117.70,ISSUED,,,,,,
INV-2026-M00176,2026-08-16,order_YbsvII7xPcPMcm,Deccan Hardware Co,IN,INR,14245.21,ISSUED,,,,,,
INV-2026-M00177,2026-08-21,order_RakvdUmLh9e4e6,CASCADE RETAIL CORP,US,USD,17578.04,PARTIALLY_REALISED,P1006,8508782,2025-12-22,2026-09-18,10406.20,EDPMS open: shipping bill not fully realised
INV-2026-M00178,2026-08-12,order_sZiihqls9fkYvA,Sharma Retail LLP,IN,INR,27549.15,ISSUED,,,,,,
INV-2026-M00179,2026-07-28,order_rWa8dVRyq5XFVD,Sharma Retail LLP,IN,INR,30441.28,ISSUED,,,,,,
INV-2026-M00180,2026-08-08,order_iOYbK8jlBZ2r8i,Sharma Retail LLP,IN,INR,25342.07,ISSUED,,,,,,
INV-2026-M00181,2026-08-04,order_D5OlUzNLa9X9s2,Bluewave Logistics,IN,INR,17089.16,ISSUED,,,,,,
INV-2026-M00182,2026-08-13,order_yyterLj4EOocX3,Sunrise Foods India,IN,INR,2824.28,ISSUED,,,,,,
INV-2026-M00183,2026-08-20,order_yhakjLWcCw8y2q,Sunrise Foods India,IN,INR,17772.01,ISSUED,,,,,,
INV-2026-M00184,2026-07-29,order_vM43E1isCYSRM9,Bluewave Logistics,IN,INR,2378.96,ISSUED,,,,,,
INV-2026-M00185,2026-08-12,order_Oj1nOFOnOn8C43,Sunrise Foods India,IN,INR,15072.51,ISSUED,,,,,,
INV-2026-M00186,2026-08-10,order_fDLZVouYAE79Dl,Deccan Hardware Co,IN,INR,36056.44,ISSUED,,,,,,
INV-2026-M00187,2026-08-09,order_HtRGHDgJHO5baW,Deccan Hardware Co,IN,INR,37316.84,ISSUED,,,,,,
INV-2026-M00188,2026-08-10,order_WICGPzIsJTVrSc,Deccan Hardware Co,IN,INR,17476.63,ISSUED,,,,,,
INV-2026-M00189,2026-08-07,order_dOpUdaQGUvSjYV,Sharma Retail LLP,IN,INR,52961.19,ISSUED,,,,,,
INV-2026-M00190,2026-08-12,order_2xNqehzWtSAf4W,Sharma Retail LLP,IN,INR,52961.19,ISSUED,,,,,,
INV-2026-M00191,2026-08-16,order_uwkz75Tn62edNS,Bluewave Logistics,IN,INR,37105.48,ISSUED,,,,,,
INV-2026-M00192,2026-08-07,order_q0gg5Ew0sTMZcc,Kanpur Textiles Pvt Ltd,IN,INR,28654.47,ISSUED,,,,,,
INV-2026-M00193,2026-08-12,order_LpH1eh7h8CZWTF,Sharma Retail LLP,IN,INR,14932.19,ISSUED,,,,,,
