value_date,currency_pair,source,reference_rate
2026-08-09,AED/INR,FBIL,23.8503
2026-08-09,EUR/INR,FBIL,95.2270
2026-08-09,GBP/INR,FBIL,111.5438
2026-08-09,SGD/INR,FBIL,64.8181
2026-08-09,USD/INR,FBIL,87.4110
2026-08-10,AED/INR,FBIL,23.8475
2026-08-10,EUR/INR,FBIL,95.2238
2026-08-10,GBP/INR,FBIL,111.5364
2026-08-10,SGD/INR,FBIL,64.8262
2026-08-10,USD/INR,FBIL,87.4100
2026-08-11,AED/INR,FBIL,23.8366
2026-08-11,EUR/INR,FBIL,95.2197
2026-08-11,GBP/INR,FBIL,111.5476
2026-08-11,SGD/INR,FBIL,64.8169
2026-08-11,USD/INR,FBIL,87.3984
2026-08-12,AED/INR,FBIL,23.8514
2026-08-12,EUR/INR,FBIL,95.2077
2026-08-12,GBP/INR,FBIL,111.5341
2026-08-12,SGD/INR,FBIL,64.8291
2026-08-12,USD/INR,FBIL,87.3893
2026-08-13,AED/INR,FBIL,23.8370
2026-08-13,EUR/INR,FBIL,95.2223
2026-08-13,GBP/INR,FBIL,111.5489
2026-08-13,SGD/INR,FBIL,64.8263
2026-08-13,USD/INR,FBIL,87.3877
2026-08-14,AED/INR,FBIL,23.8309
2026-08-14,EUR/INR,FBIL,95.2282
2026-08-14,GBP/INR,FBIL,111.5473
2026-08-14,SGD/INR,FBIL,64.8282
2026-08-14,USD/INR,FBIL,87.3813
2026-08-15,AED/INR,FBIL,23.8318
2026-08-15,EUR/INR,FBIL,95.2357
2026-08-15,GBP/INR,FBIL,111.5363
2026-08-15,SGD/INR,FBIL,64.8370
2026-08-15,USD/INR,FBIL,87.3781
2026-08-16,AED/INR,FBIL,23.8240
2026-08-16,EUR/INR,FBIL,95.2258
2026-08-16,GBP/INR,FBIL,111.5401
2026-08-16,SGD/INR,FBIL,64.8339
2026-08-16,USD/INR,FBIL,87.3810
2026-08-17,AED/INR,FBIL,23.8243
2026-08-17,EUR/INR,FBIL,95.2374
2026-08-17,GBP/INR,FBIL,111.5389
2026-08-17,SGD/INR,FBIL,64.8260
2026-08-17,USD/INR,FBIL,87.3731
2026-08-18,AED/INR,FBIL,23.8118
2026-08-18,EUR/INR,FBIL,95.2339
2026-08-18,GBP/INR,FBIL,111.5278
2026-08-18,SGD/INR,FBIL,64.8347
2026-08-18,USD/INR,FBIL,87.3833
2026-08-19,AED/INR,FBIL,23.8117
2026-08-19,EUR/INR,FBIL,95.2367
2026-08-19,GBP/INR,FBIL,111.5412
2026-08-19,SGD/INR,FBIL,64.8455
2026-08-19,USD/INR,FBIL,87.3972
2026-08-20,AED/INR,FBIL,23.8055
2026-08-20,EUR/INR,FBIL,95.2254
2026-08-20,GBP/INR,FBIL,111.5536
2026-08-20,SGD/INR,FBIL,64.8516
2026-08-20,USD/INR,FBIL,87.3840
2026-08-21,AED/INR,FBIL,23.8109
2026-08-21,EUR/INR,FBIL,95.2131
2026-08-21,GBP/INR,FBIL,111.5445
2026-08-21,SGD/INR,FBIL,64.8506
2026-08-21,USD/INR,FBIL,87.3855
2026-08-22,AED/INR,FBIL,23.7996
2026-08-22,EUR/INR,FBIL,95.2039
2026-08-22,GBP/INR,FBIL,111.5540
2026-08-22,SGD/INR,FBIL,64.8395
2026-08-22,USD/INR,FBIL,87.3773
2026-08-23,AED/INR,FBIL,23.7900
2026-08-23,EUR/INR,FBIL,95.1984
2026-08-23,GBP/INR,FBIL,111.5655
2026-08-23,SGD/INR,FBIL,64.8483
2026-08-23,USD/INR,FBIL,87.3866
2026-08-24,AED/INR,FBIL,23.7990
2026-08-24,EUR/INR,FBIL,95.1871
2026-08-24,GBP/INR,FBIL,111.5745
2026-08-24,SGD/INR,FBIL,64.8333
2026-08-24,USD/INR,FBIL,87.3806
2026-08-25,AED/INR,FBIL,23.8129
2026-08-25,EUR/INR,FBIL,95.1723
2026-08-25,GBP/INR,FBIL,111.5714
2026-08-25,SGD/INR,FBIL,64.8183
2026-08-25,USD/INR,FBIL,87.3722
2026-08-26,AED/INR,FBIL,23.8039
2026-08-26,EUR/INR,FBIL,95.1589
2026-08-26,GBP/INR,FBIL,111.5738
2026-08-26,SGD/INR,FBIL,64.8080
2026-08-26,USD/INR,FBIL,87.3697
2026-08-27,AED/INR,FBIL,23.7909
2026-08-27,EUR/INR,FBIL,95.1614
2026-08-27,GBP/INR,FBIL,111.5809
2026-08-27,SGD/INR,FBIL,64.8188
2026-08-27,USD/INR,FBIL,87.3709
2026-08-28,AED/INR,FBIL,23.7996
2026-08-28,EUR/INR,FBIL,95.1637
2026-08-28,GBP/INR,FBIL,111.5667
2026-08-28,SGD/INR,FBIL,64.8152
2026-08-28,USD/INR,FBIL,87.3673
2026-08-29,AED/INR,FBIL,23.7860
2026-08-29,EUR/INR,FBIL,95.1774
2026-08-29,GBP/INR,FBIL,111.5595
2026-08-29,SGD/INR,FBIL,64.8031
2026-08-29,USD/INR,FBIL,87.3795
2026-08-30,AED/INR,FBIL,23.7877
2026-08-30,EUR/INR,FBIL,95.1912
2026-08-30,GBP/INR,FBIL,111.5632
2026-08-30,SGD/INR,FBIL,64.8116
2026-08-30,USD/INR,FBIL,87.3656
2026-08-31,AED/INR,FBIL,23.7728
2026-08-31,EUR/INR,FBIL,95.1810
2026-08-31,GBP/INR,FBIL,111.5498
2026-08-31,SGD/INR,FBIL,64.8060
2026-08-31,USD/INR,FBIL,87.3602
2026-09-01,AED/INR,FBIL,23.7583
2026-09-01,EUR/INR,FBIL,95.1788
2026-09-01,GBP/INR,FBIL,111.5523
2026-09-01,SGD/INR,FBIL,64.8132
2026-09-01,USD/INR,FBIL,87.3663
2026-09-02,AED/INR,FBIL,23.7591
2026-09-02,EUR/INR,FBIL,95.1718
2026-09-02,GBP/INR,FBIL,111.5458
2026-09-02,SGD/INR,FBIL,64.8039
2026-09-02,USD/INR,FBIL,87.3581
2026-09-03,AED/INR,FBIL,23.7556
2026-09-03,EUR/INR,FBIL,95.1619
2026-09-03,GBP/INR,FBIL,111.5468
2026-09-03,SGD/INR,FBIL,64.8116
2026-09-03,USD/INR,FBIL,87.3537
2026-09-04,AED/INR,FBIL,23.7513
2026-09-04,EUR/INR,FBIL,95.1660
2026-09-04,GBP/INR,FBIL,111.5558
2026-09-04,SGD/INR,FBIL,64.8161
2026-09-04,USD/INR,FBIL,87.3608
2026-09-05,AED/INR,FBIL,23.7528
2026-09-05,EUR/INR,FBIL,95.1693
2026-09-05,GBP/INR,FBIL,111.5501
2026-09-05,SGD/INR,FBIL,64.8085
2026-09-05,USD/INR,FBIL,87.3740
2026-09-06,AED/INR,FBIL,23.7407
2026-09-06,EUR/INR,FBIL,95.1757
2026-09-06,GBP/INR,FBIL,111.5601
2026-09-06,SGD/INR,FBIL,64.8200
2026-09-06,USD/INR,FBIL,87.3833
2026-09-07,AED/INR,FBIL,23.7318
2026-09-07,EUR/INR,FBIL,95.1851
2026-09-07,GBP/INR,FBIL,111.5501
2026-09-07,SGD/INR,FBIL,64.8300
2026-09-07,USD/INR,FBIL,87.3924
2026-09-08,AED/INR,FBIL,23.7395
2026-09-08,EUR/INR,FBIL,95.1830
2026-09-08,GBP/INR,FBIL,111.5351
2026-09-08,SGD/INR,FBIL,64.8269
2026-09-08,USD/INR,FBIL,87.3867
2026-09-09,AED/INR,FBIL,23.7438
2026-09-09,EUR/INR,FBIL,95.1884
2026-09-09,GBP/INR,FBIL,111.5347
2026-09-09,SGD/INR,FBIL,64.8216
2026-09-09,USD/INR,FBIL,87.4017
2026-09-10,AED/INR,FBIL,23.7369
2026-09-10,EUR/INR,FBIL,95.1763
2026-09-10,GBP/INR,FBIL,111.5473
2026-09-10,SGD/INR,FBIL,64.8310
2026-09-10,USD/INR,FBIL,87.3989
